"","SPLmean","SPLsd","SPLQ25","SPL50","SPLQ75","SPLMax","SPLMin","lwr.ci(95%)","upr.ci(95%)","Year","Month","Day","Hour","Min","Sec","Site","file"
"X5C8C4408.WAV",86.9868148501552,5.41281869551305,83.6905682034344,85.9425363725945,87.6040855511789,113.25425601988,82.0124794997843,86.3205947832955,87.6530349170148,"2019","03","16"," 00","23","08","S01","X5C8C4408.WAV"
"X5C8C4660.WAV",86.8666704704286,5.3469328325521,83.5806275245617,85.8454763889751,87.3115858093553,110.360316824403,81.9652165052061,86.2085597614647,87.5247811793925,"2019","03","16"," 00","33","08","S01","X5C8C4660.WAV"
"X5C8C48B8.WAV",86.9105095723592,5.26861754786998,83.6136058175122,85.9048546628248,87.4665526024749,108.948225494428,81.8660160130911,86.2620380582644,87.558981086454,"2019","03","16"," 00","43","08","S01","X5C8C48B8.WAV"
"X5C8C4B10.WAV",87.179061352142,4.94804205490657,84.0047711914274,86.2781375906571,88.0944458121045,107.719586018494,82.3829885326539,86.5700468822177,87.7880758220663,"2019","03","16"," 00","53","08","S01","X5C8C4B10.WAV"
"X5C8C4D68.WAV",87.1086220887837,5.30606951850042,83.647253616892,85.9510425548233,88.1416299160808,109.193760805276,82.028635944567,86.4555409145874,87.76170326298,"2019","03","16"," 01","03","08","S01","X5C8C4D68.WAV"
"X5C8C4FC0.WAV",87.3696815347254,5.30623529520429,83.8391678571037,86.1981352547199,88.6335511298011,109.599704010144,82.2517996643867,86.7165799564157,88.0227831130352,"2019","03","16"," 01","13","08","S01","X5C8C4FC0.WAV"
"X5C8C5218.WAV",87.1073146045264,5.28661281941911,83.6508825761555,85.8498358923297,88.2737102242042,108.745389802509,82.2743953419316,86.4566281980273,87.7580010110255,"2019","03","16"," 01","23","08","S01","X5C8C5218.WAV"
"X5C8C5470.WAV",87.2846142121923,5.37894129532759,83.8085851586726,85.9936290741146,88.7823340331058,109.803741654959,81.9148277134111,86.6225638404741,87.9466645839104,"2019","03","16"," 01","33","08","S01","X5C8C5470.WAV"
"X5C8C56C8.WAV",87.1133935232925,5.28292354404509,83.6658453188071,86.0051437869045,88.3301915532681,113.376759090995,81.9617913210931,86.4631611998552,87.7636258467298,"2019","03","16"," 01","43","08","S01","X5C8C56C8.WAV"
"X5C8C5920.WAV",86.7617071208725,5.054905170562,83.4866572788261,85.8218609067719,88.1333482980305,107.495445973668,81.9112997831207,86.139539734499,87.3838745072461,"2019","03","16"," 01","53","08","S01","X5C8C5920.WAV"
"X5C8C5B78.WAV",86.6218443580518,4.86366188484348,83.3549469171637,85.531207936032,87.9832140647139,106.344000055226,81.7926061043908,86.0232155606769,87.2204731554267,"2019","03","16"," 02","03","08","S01","X5C8C5B78.WAV"
"X5C8C5DD0.WAV",86.3435533821047,4.89061049948065,83.3284753056682,85.3735229717045,86.8097115735938,106.555152098366,81.6666905426059,85.7416076977518,86.9454990664576,"2019","03","16"," 02","13","08","S01","X5C8C5DD0.WAV"
"X5C8C6028.WAV",86.418659785767,4.86302483114524,83.2136625695807,85.4709837789846,87.5150795960013,106.953517863214,81.6871493345074,85.8201093981785,87.0172101733556,"2019","03","16"," 02","23","08","S01","X5C8C6028.WAV"
"X5C8C6280.WAV",86.5135127040406,4.96488736067027,83.2242274507618,85.4719636542376,87.6146311149922,107.166330032176,81.5465125633389,85.9024248816979,87.1246005263832,"2019","03","16"," 02","33","08","S01","X5C8C6280.WAV"
"X5C8C64D8.WAV",86.9763921405303,4.72901243532254,83.8421989181,85.8826879031192,87.9406346157793,105.993679970666,82.3865556275897,86.3943362546658,87.5584480263948,"2019","03","16"," 02","43","08","S01","X5C8C64D8.WAV"
"X5C8C6730.WAV",86.4900831525348,4.64146700621152,83.465316023344,85.5615696727344,87.374603197233,106.062702759475,81.7166679725907,85.9188025253509,87.0613637797187,"2019","03","16"," 02","53","08","S01","X5C8C6730.WAV"
"X5C8C6988.WAV",86.3151423475406,4.75208701985924,83.3181409489136,85.4836082927465,87.3599847426839,106.649554548307,81.3291570019946,85.7302463977247,86.9000382973566,"2019","03","16"," 03","03","08","S01","X5C8C6988.WAV"
"X5C8C6BE0.WAV",86.2745809966588,4.71211166332689,83.4929353031401,85.3413438977579,87.177278787709,106.269081105853,81.274340832051,85.6946052901024,86.8545567032152,"2019","03","16"," 03","13","08","S01","X5C8C6BE0.WAV"
"X5C8C6E38.WAV",85.9518794480888,4.41611433410861,83.078582615997,85.0961110327321,87.0937658368133,105.208821071462,81.178442591886,85.4083356583497,86.4954232378279,"2019","03","16"," 03","23","08","S01","X5C8C6E38.WAV"
